lig id,mass,mass status,suitable lig,suitable type,NMP/NDP/NTP,water,complex,small mol,solvent/buffer,linker,covalent
HLV,227.094628656,exact,2,2,0,0,0,0,0,0,0
CH1,466.9895974619998,exact,0,0,7,0,0,0,0,0,0
CTP,482.9845120819998,exact,0,0,19,0,0,0,0,0,2
PEG,106.06299418,exact,0,0,10,0,0,0,23,0,0
TAR,150.01643791200001,exact,0,3,2,0,0,0,0,0,0
V71,324.18089812,exact,1,1,0,0,0,0,0,0,0
T6A,,,0,0,0,0,0,0,0,0,10
MUL,493.32257998399996,exact,2,2,0,0,0,0,0,0,0
A2M,,,0,0,0,0,0,0,0,0,172
OMC,337.0675011019999,exact,0,1,0,0,0,0,0,0,207
B8N,,,0,0,0,0,0,0,0,0,4
4AC,,,0,0,0,0,0,0,0,0,198
UMS,,,0,0,0,0,0,0,0,0,30
RIO,454.2274932879999,exact,6,6,0,0,0,0,0,0,0
B8H,,,0,0,0,0,0,0,0,0,6
EPE,238.098728056,exact,0,0,8,0,0,0,35,0,1
PRF,179.080709908,exact,0,9,0,0,0,0,0,0,0
CYY,,,0,0,0,0,0,0,0,0,4
PA1,,,0,0,0,0,0,0,0,0,1
BDR,,,0,0,0,0,0,0,0,0,4
IDG,,,0,0,0,0,0,0,0,0,3
GTA,787.0997758100898,exact,,0,0,0,0,0,0,0,
MES,195.056528896,exact,0,0,3,0,0,0,14,0,0
CCC,,,0,0,0,0,0,0,0,0,100
IPA,60.057514876,exact,0,0,6,0,0,0,14,0,0
1PE,238.141638424,exact,0,0,1,0,0,0,10,0,0
6U0,,,0,0,0,0,0,0,0,0,1
FLC,189.00517323973003,exact,0,4,1,0,0,0,0,0,0
PPU,,,0,0,0,0,0,0,0,0,16
PO2,,,0,0,0,0,0,0,0,0,10
LLL,449.2849485880001,exact,3,3,0,0,0,0,0,0,0
5BU,,,0,0,0,0,0,0,0,0,199
N30,454.22749328799995,exact,1,1,0,0,0,0,0,0,0
LCC,,,0,0,0,0,0,0,0,0,181
LCA,,,0,0,0,0,0,0,0,0,28
3PO,,,0,0,0,0,0,0,0,0,1
DPO,173.91411991964,exact,0,0,2,0,0,0,0,0,3
MG7,,,0,0,0,0,0,0,0,0,1
UTP,483.96852766999984,exact,0,0,14,0,0,0,0,0,2
T0A,166.08546094,exact,0,1,0,0,0,0,0,0,0
86S,708.1054333920001,exact,0,0,1,0,0,0,0,0,0
J0D,305.11069596409004,exact,1,1,0,0,0,0,0,0,0
DI,332.0521853860001,exact,2,15,0,0,0,0,0,0,0
DMY,481.2186003440001,exact,2,2,0,0,0,0,0,0,0
YG,,,0,0,0,0,0,0,0,0,24
GP3,788.0717639139999,exact,0,0,2,0,0,0,0,0,0
IMP,,,0,0,0,0,0,0,0,0,1
TT,,,0,0,0,0,0,0,0,0,10
GMP,283.091668516,exact,0,0,6,0,0,0,0,0,0
DIO,88.052429496,exact,0,2,0,0,0,0,0,0,0
V5Z,425.1819463200899,exact,3,3,0,0,0,0,0,0,0
5FU,,,0,0,0,0,0,0,0,0,2
PPV,177.94322572800002,exact,0,0,8,0,0,0,0,0,0
MTU,,,0,0,0,0,0,0,0,0,6
TPP,425.0444196280899,exact,6,6,0,0,0,0,0,0,1
TPS,345.0780891060899,exact,1,1,0,0,0,0,0,0,0
20V,605.9763797899999,exact,0,0,1,0,0,0,0,0,0
A7E,,,0,0,0,0,0,0,0,0,6
ARF,45.021463716,exact,0,1,0,0,0,0,0,0,0
POP,175.92867282382002,exact,0,0,17,0,0,0,0,0,1
TRS,122.08116966409,exact,0,0,3,0,0,0,5,0,0
GNP,522.0066444939999,exact,,0,1,0,0,0,0,0,
CSO,,,0,0,0,0,0,0,0,0,2
MPO,209.07217896,exact,0,0,0,0,0,0,1,0,0
HEZ,118.099379688,exact,0,0,0,0,0,0,2,0,0
PGO,76.052429496,exact,0,2,0,0,0,0,0,0,0
POL,60.057514876,exact,0,1,0,0,0,0,0,0,0
MRC,500.2985329879999,exact,0,0,0,0,0,0,0,3,0
ZCY,,,0,0,0,0,0,0,0,0,9
ZGU,,,0,0,0,0,0,0,0,0,11
ZHP,,,0,0,0,0,0,0,0,0,4
ZAD,,,0,0,0,0,0,0,0,0,6
KGN,659.8613712360001,exact,0,1,0,0,0,0,0,0,0
6OP,,,0,0,0,0,0,0,0,0,1
F2T,,,0,0,0,0,0,0,0,0,2
6NW,,,0,0,0,0,0,0,0,0,3
UFT,326.03153019399997,exact,0,1,0,0,0,0,0,0,98
6OO,,,0,0,0,0,0,0,0,0,7
1F2,788.4571588680001,exact,0,1,0,0,0,0,0,0,0
SIN,118.02660867200001,exact,0,0,0,0,0,0,4,0,0
GNG,267.096753896,exact,7,7,0,0,0,0,0,0,0
UYS,323.149458164,exact,1,1,0,0,0,0,0,0,0
2BA,658.1050394679999,exact,17,17,0,0,0,0,0,0,0
CLY,424.17987083599996,exact,2,2,0,0,0,0,0,0,0
MIA,,,0,0,0,0,0,0,0,0,8
IEL,187.132076784,exact,0,1,0,0,0,0,0,0,0
34G,480.2988077599999,exact,2,2,0,0,0,0,0,0,0
DTP,491.00083084199986,exact,0,0,9,0,0,0,0,0,0
P5P,,,0,0,0,0,0,0,0,0,68
2SG,,,0,0,0,0,0,0,0,0,2
MYR,228.208930136,exact,0,0,0,0,0,1,0,0,0
T1C,587.29441611218,exact,3,3,0,0,0,0,0,0,0
218,259.15533764809,exact,1,1,0,0,0,0,0,0,0
ZC0,408.10453962,exact,1,1,0,0,0,0,0,0,0
GTG,,,0,0,0,0,0,0,0,0,3
PRP,389.95181498599993,exact,5,5,0,0,0,0,0,0,0
TLA,150.01643791200001,exact,0,0,0,0,0,0,5,0,0
SFG,381.176066836,exact,1,6,0,0,0,0,0,0,0
HUV,531.0096642099998,exact,,0,0,0,0,0,0,0,
NAD,663.1091218040001,exact,7,7,0,0,0,0,0,0,0
AMP,347.06308441799996,exact,0,0,23,0,0,0,0,0,5
WC4,,,0,0,0,0,0,0,0,0,1
WC7,,,0,0,0,0,0,0,0,0,6
UFP,,,0,0,0,0,0,0,0,0,4
UD5,,,0,0,0,0,0,0,0,0,2
G2P,521.0113955259999,exact,0,0,9,0,0,0,0,0,0
A2F,153.045073348,exact,0,1,0,0,0,0,0,0,0
H4B,241.11748934,exact,0,0,1,0,0,0,0,0,0
T5S,,,0,0,0,0,0,0,0,0,8
PZG,427.100532546,exact,1,1,3,0,0,0,0,0,0
ERN,734.49287568,exact,0,1,0,0,0,0,0,0,0
CMP,329.052519734,exact,0,0,2,0,0,0,0,0,0
70U,,,0,0,0,0,0,0,0,0,22
12A,,,0,0,0,0,0,0,0,0,22
2KH,482.9845120819998,exact,0,0,4,0,0,0,0,0,0
M4H,353.13755608799994,exact,0,0,4,0,0,0,0,0,0
AGU,74.05924619199999,exact,0,2,0,0,0,0,0,0,0
23G,,,0,0,0,0,0,0,0,0,16
EOH,46.041864812,exact,0,0,1,0,0,0,7,0,0
SPD,145.15789760799998,exact,0,0,1,0,0,0,10,0,0
3LK,578.3753438279999,exact,1,1,0,0,0,0,0,0,0
G47,,,0,0,0,0,0,0,0,0,9
EFZ,315.027390868,exact,0,4,2,0,0,0,0,0,0
CMY,,,0,0,0,0,0,0,0,0,6
CBR,,,0,0,0,0,0,0,0,0,33
ZZS,111.05449515999999,exact,0,1,0,0,0,0,0,0,0
NAG,,,0,0,0,0,0,0,0,0,299
NDG,,,0,0,0,0,0,0,0,0,14
MAN,,,0,0,0,0,0,0,0,0,14
FUC,,,0,0,0,0,0,0,0,0,2
BMA,,,0,0,0,0,0,0,0,0,21
FUL,,,0,0,0,0,0,0,0,0,2
CIR,175.095691276,exact,0,1,0,0,0,0,0,0,0
PHD,,,0,0,0,0,0,0,0,0,2
MPF,233.29435499999997,approximation,2,2,0,0,0,0,0,0,0
DGP,347.0630844180001,exact,1,1,1,0,0,0,0,0,0
CM0,,,0,0,0,0,0,0,0,0,8
LHH,,,0,0,0,0,0,0,0,0,6
5HM,,,0,0,0,0,0,0,0,0,6
Y5P,,,0,0,0,0,0,0,0,0,169
QSI,474.12813066399997,exact,0,4,0,0,0,0,0,0,0
FMN,456.10461488199985,exact,2,6,7,0,0,0,0,0,0
G3A,772.0768492939998,exact,,0,0,0,0,0,0,0,
GCP,521.0113955259999,exact,,0,0,0,0,0,0,0,
6NO,1402.4635760159995,exact,0,1,0,0,0,0,0,0,0
6GU,169.015522808,exact,0,3,0,0,0,0,0,0,0
GSU,475.11214625199995,exact,0,4,0,0,0,0,0,0,0
HZD,750.32222816018,exact,0,1,0,0,0,0,0,0,0
6GO,165.065059844,exact,0,2,0,0,0,0,0,0,0
BLS,422.20261593200007,exact,1,1,0,0,0,0,0,0,0
I,348.04710000600005,exact,12,12,0,0,0,0,0,0,0
TG,333.047434354,exact,2,2,0,0,0,0,0,0,3
3DA,,,0,0,0,0,0,0,0,0,7
PGP,,,0,0,0,0,0,0,0,0,2
U5P,324.035866626,exact,0,1,0,0,0,0,0,0,0
XUG,,,0,0,0,0,0,0,0,0,4
TSB,447.1172316320001,exact,0,2,0,0,0,0,0,0,0
DGT,506.9957454619999,exact,0,0,3,0,0,0,0,0,0
BDG,,,0,0,0,0,0,0,0,0,3
PA2,,,0,0,0,0,0,0,0,0,3
P24,,,0,0,0,0,0,0,0,0,1
42B,,,0,0,0,0,0,0,0,0,1
F7R,,,0,0,0,0,0,0,0,0,20
F7X,,,0,0,0,0,0,0,0,0,16
F7O,,,0,0,0,0,0,0,0,0,16
F7U,,,0,0,0,0,0,0,0,0,4
DG3,491.0008308419999,exact,0,0,1,0,0,0,0,0,0
G0B,872.4867326285399,exact,0,1,0,0,0,0,0,0,0
PRI,99.068413908,exact,0,1,0,0,0,0,0,0,0
5CM,,,0,0,0,0,0,0,0,0,2
1DP,,,0,0,0,0,0,0,0,0,8
HYP,,,0,0,0,0,0,0,0,0,4
ILX,,,0,0,0,0,0,0,0,0,4
TRX,,,0,0,0,0,0,0,0,0,6
CSX,,,0,0,0,0,0,0,0,0,6
73W,,,0,0,0,0,0,0,0,0,8
C38,,,0,0,0,0,0,0,0,0,2
ERY,733.4612412040001,exact,0,5,0,0,0,0,0,0,0
ACE,,,0,0,0,0,0,0,0,0,5
6AP,150.06539419199999,exact,0,3,1,0,0,0,0,0,0
HFA,,,0,0,0,0,0,0,0,0,4
ACA,131.094628656,exact,0,0,1,0,0,0,2,0,10
BTN,244.088163372,exact,1,1,0,0,0,0,0,0,3
MHW,,,0,0,0,0,0,0,0,0,5
DBB,,,0,0,0,0,0,0,0,0,10
004,,,0,0,0,0,0,0,0,0,10
MHV,,,0,0,0,0,0,0,0,0,12
MHT,,,0,0,0,0,0,0,0,0,2
MHU,,,0,0,0,0,0,0,0,0,4
FMT,46.005479304,exact,0,0,2,0,0,0,3,0,0
3AY,125.07014522399999,exact,0,1,0,0,0,0,0,0,0
BU1,90.06807956,exact,0,1,0,0,0,0,0,0,0
CSG,482.0004964939999,exact,0,0,1,0,0,0,0,0,0
RQA,,,0,0,0,0,0,0,0,0,2
AA,195.09167477209,exact,0,2,0,0,0,0,0,0,0
CSL,,,0,0,0,0,0,0,0,0,16
SIS,447.2692985240001,exact,4,4,0,0,0,0,0,0,0
